performance,id,vocal,background,mixture,vocal_start,vocal_end,background_start,background_end,mixture_start,mixture_end
1588118777_2971847361,1588118777_2971847361-001-010,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,15.54,18.54,15.552499999999998,18.5525,15.552499999999998,18.5525
1588118777_2971847361,1588118777_2971847361-001-011,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,17.04,20.04,17.0525,20.0525,17.0525,20.0525
1588118777_2971847361,1588118777_2971847361-006-000,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,20.76,23.76,20.7725,23.7725,20.7725,23.7725
1588118777_2971847361,1588118777_2971847361-007-000,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,25.5,28.5,25.5125,28.5125,25.5125,28.5125
711696316_2959995576,711696316_2959995576-001-000,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,1.2,4.2,1.2125,4.2125,1.2125,4.2125
711696316_2959995576,711696316_2959995576-001-001,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,2.7,5.7,2.7125000000000004,5.7125,2.7125000000000004,5.7125
711696316_2959995576,711696316_2959995576-001-002,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,4.2,7.2,4.2125,7.2125,4.2125,7.2125
711696316_2959995576,711696316_2959995576-001-003,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,5.7,8.7,5.7125,8.7125,5.7125,8.7125
711696316_2959995576,711696316_2959995576-001-004,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,7.2,10.2,7.2125,10.2125,7.2125,10.2125
711696316_2959995576,711696316_2959995576-001-005,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,8.7,11.7,8.712499999999999,11.7125,8.712499999999999,11.7125
711696316_2959995576,711696316_2959995576-001-006,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,10.2,13.2,10.212499999999999,13.2125,10.212499999999999,13.2125
711696316_2959995576,711696316_2959995576-001-007,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,11.7,14.7,11.712499999999999,14.7125,11.712499999999999,14.7125
711696316_2959995576,711696316_2959995576-001-008,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,13.2,16.2,13.212499999999999,16.2125,13.212499999999999,16.2125
711696316_2959995576,711696316_2959995576-001-009,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,14.7,17.7,14.712499999999999,17.7125,14.712499999999999,17.7125
711696316_2959995576,711696316_2959995576-001-010,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,16.2,19.2,16.2125,19.2125,16.2125,19.2125
711696316_2959995576,711696316_2959995576-001-011,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,17.7,20.7,17.7125,20.7125,17.7125,20.7125
711696316_2959995576,711696316_2959995576-001-012,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,19.2,22.2,19.2125,22.2125,19.2125,22.2125
711696316_2959995576,711696316_2959995576-001-013,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,20.7,23.7,20.7125,23.7125,20.7125,23.7125
711696316_2959995576,711696316_2959995576-001-014,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,22.2,25.2,22.2125,25.2125,22.2125,25.2125
711696316_2959995576,711696316_2959995576-001-015,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,23.7,26.7,23.7125,26.7125,23.7125,26.7125
711696316_2959995576,711696316_2959995576-001-016,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,25.2,28.2,25.2125,28.2125,25.2125,28.2125
711696316_2959995576,711696316_2959995576-001-017,1/AU/zh-Hans/711696316_2959995576/vocal.ogg,1/AU/zh-Hans/711696316_2959995576/background.m4a,1/AU/zh-Hans/711696316_2959995576/mix.m4a,26.7,29.7,26.7125,29.7125,26.7125,29.7125
1055670262_2967095864,1055670262_2967095864-002-000,1/AE/ml/1055670262_2967095864/vocal.ogg,1/AE/ml/1055670262_2967095864/background.m4a,1/AE/ml/1055670262_2967095864/mix.m4a,9.247499999999999,12.2475,8.94,11.94,8.94,11.94
1055670262_2967095864,1055670262_2967095864-002-001,1/AE/ml/1055670262_2967095864/vocal.ogg,1/AE/ml/1055670262_2967095864/background.m4a,1/AE/ml/1055670262_2967095864/mix.m4a,10.747499999999999,13.7475,10.44,13.44,10.44,13.44
1055670262_2967095864,1055670262_2967095864-003-000,1/AE/ml/1055670262_2967095864/vocal.ogg,1/AE/ml/1055670262_2967095864/background.m4a,1/AE/ml/1055670262_2967095864/mix.m4a,16.267500000000002,19.2675,15.96,18.96,15.96,18.96
1055670262_2967095864,1055670262_2967095864-003-001,1/AE/ml/1055670262_2967095864/vocal.ogg,1/AE/ml/1055670262_2967095864/background.m4a,1/AE/ml/1055670262_2967095864/mix.m4a,17.767500000000002,20.7675,17.46,20.46,17.46,20.46
1055670262_2967095864,1055670262_2967095864-004-000,1/AE/ml/1055670262_2967095864/vocal.ogg,1/AE/ml/1055670262_2967095864/background.m4a,1/AE/ml/1055670262_2967095864/mix.m4a,24.0075,27.0075,23.7,26.7,23.7,26.7
